AW	AW01	ZMW + Dämmung	U-Wert vorh.:	0,130	U-Wert erf.:	0,350	Flächenbezogene Masse:	256,60
		
	1	Lattung, Lärche vertikal 	0,030	0,130	15,75	0,0000	0,000	
	2	Lattung/Luftschicht	0,030	0,176	0,03	0,0000	0,000	
	3.0	Konterlattung	0,030	0,120	14,25	0,7000	0,050	V
	3.1	Luftschicht	0,030	0,176	0,03	0,0000	0,000	
	4	Winddichtbahn (z.B. ISOCELL OMEGA SKIN)	0,0001	0,500	0,03	0,0000	0,000	
	5.0	UK Holz	0,120	0,120	57,00	0,7000	0,050	H
	5.1	MW Dämmstoff (z.B. ISOVER MULTI KOMBI PH- KLEMMFILZ ?=0,033 W/mK)	0,120	0,033	2,46	0,0000	0,000	
	6.0	UK Holz	0,120	0,120	57,00	0,7000	0,050	V
	6.1	MW Dämmstoff (z.B. ISOVER MULTI KOMBI PH- KLEMMFILZ ?=0,033 W/mK)	0,120	0,033	2,46	0,0000	0,000	
	7	Ziegelwand (z.B.: POROTHERM 25-38 Plan)	0,250	0,237	200,00	0,0000	0,000	
	8	Innenputz (Kalk-Zement) R = 1800	0,015	1,050	27,00	0,0000	0,000	

FM	AW02	Außenwand Feuermauer	U-Wert vorh.:	0,138	U-Wert erf.:	0,000	Flächenbezogene Masse:	258,44
		
	1	Silikatputz	0,0002	0,800	0,36	0,0000	0,000	
	2	Silikatputz armiert	0,005	0,800	9,00	0,0000	0,000	
	3	Hanffaserdämmplatte (z.B. Synthesa Capatect NAPOROwall)	0,240	0,040	22,08	0,0000	0,000	
	4	Ziegelwand (z.B.: POROTHERM 25-38 Plan)	0,250	0,237	200,00	0,0000	0,000	
	5	Innenputz 	0,015	1,050	27,00	0,0000	0,000	

FM	AW03	Außenwand Müllraum	U-Wert vorh.:	0,146	U-Wert erf.:	0,000	Flächenbezogene Masse:	258,44
		
	1	Silikatputz 	0,0002	0,800	0,36	0,0000	0,000	
	2	Silikatputz armiert	0,005	0,800	9,00	0,0000	0,000	
	3	Hanffaserdämmplatte (z.B. Synthesa Capatect NAPOROwall)	0,240	0,043	22,08	0,0000	0,000	
	4	Ziegelwand (z.B.: POROTHERM 25-38 Plan)	0,250	0,237	200,00	0,0000	0,000	
	5	Innenputz 	0,015	1,050	27,00	0,0000	0,000	

EWu	AW04	Außenwand Sockelbereich, erdberührt	U-Wert vorh.:	0,113	U-Wert erf.:	0,400	Flächenbezogene Masse:	243,74
		
	1	z.B. AUSTROTHERM XPS PLUS 30 SF	0,240	0,032	7,20	0,0000	0,000	
	2	Kleber/Ausgleichsschicht	0,003	0,035	0,00	0,0000	0,000	
	3	Polymerbitumen-Dichtungsbahn	0,0039	0,230	4,29	0,0000	0,000	
	4	Bitumenanstrich	0,005	0,230	5,25	0,0000	0,000	
	5	POROTHERM 25-38 Plan	0,250	0,237	200,00	0,0000	0,000	
	6	Innenputz (Kalk-Zement) R = 1800	0,015	1,050	27,00	0,0000	0,000	

AW	AW05	BSH + Dämmung	U-Wert vorh.:	0,131	U-Wert erf.:	0,350	Flächenbezogene Masse:	113,60
		Anfrage Wechsel MWK zu BSP
	1	Lattung, Lärche vertikal 	0,030	0,130	15,75	0,0000	0,000	
	2	Lattung/Luftschicht	0,030	0,176	0,03	0,0000	0,000	
	3.0	Konterlattung	0,030	0,120	14,25	0,7000	0,050	V
	3.1	Luftschicht	0,030	0,176	0,03	0,0000	0,000	
	4	Winddichtbahn (z.B. ISOCELL OMEGA SKIN)	0,0001	0,500	0,03	0,0000	0,000	
	5.0	UK Holz	0,120	0,120	57,00	0,7000	0,050	H
	5.1	MW Dämmstoff (z.B. ISOVER MULTI KOMBI PH- KLEMMFILZ ?=0,033 W/mK)	0,120	0,033	2,46	0,0000	0,000	
	6.0	UK Holz	0,120	0,120	57,00	0,7000	0,050	V
	6.1	MW Dämmstoff (z.B. ISOVER MULTI KOMBI PH- KLEMMFILZ ?=0,033 W/mK)	0,120	0,033	2,46	0,0000	0,000	
	7	Brettsperrholzplatte z.B. KLH	0,120	0,120	57,00	0,0000	0,000	
	8	Innenputz (Kalk-Zement) R = 1800	0,015	1,050	27,00	0,0000	0,000	

ADh	DA01	Schrägdach 37 Grad Straßenseite	U-Wert vorh.:	0,098	U-Wert erf.:	0,200	Flächenbezogene Masse:	99,50
		
	1	Dacheindeckung (Eternit Planum)	0,015	1,700	32,25	0,0000	0,000	
	2.0	Lattung	0,030	0,120	14,25	0,8000	0,050	H
	2.1	Luftschicht 	0,030	0,176	0,03	0,0000	0,000	
	3.0	Konterlattung	0,050	0,120	23,75	0,5000	0,050	V
	3.1	Luftschicht 	0,050	0,176	0,06	0,0000	0,000	
