;;;;;;W/m²K;m²;m²;Stk
LfdNr;Bauteiltyp;Bauteilkürzel;Bauteilbezeichnung;Bauteilbeschreibung;Status;U-Wert;FlächeBauteilEinzel;FlächeBauteilGesamt;StückGesamt
1;AF;;Fenster auf Prüfnormmaß;;;0,740;1,82;0,00;0
2;AT;;Türe auf Prüfnormmaß;;;1,300;2,68;0,00;0
3;AF;0001;AF 100x100;;;0,810;1,00;4,00;4
4;AF;0002;AF 100x128;;;0,810;1,28;2,56;2
5;AF;0003;AF 100x188;;;0,810;1,88;1,88;1
6;AF;0004;AF 100x205;;;0,810;2,05;2,05;1
7;AF;0005;AF 100x60;;;0,810;0,60;1,20;2
8;AF;0006;AF 175x60;;;0,810;1,05;2,10;2
9;AF;0007;AF 200x235;;;0,810;4,70;9,40;2
10;AF;0008;AF 265x205;;;0,810;5,43;5,43;1
11;AF;0009;AF 200x100;;;0,780;2,00;4,00;2
12;AF;0010;AF 410x235;;;0,810;9,64;19,28;2
13;AT;0011;AT 100x210;;;1,310;2,10;2,10;1
14;AT;0012;AT 139x205;;;1,310;2,85;2,85;1
15;AF;0013;DFF 100x100;;;0,750;1,00;1,00;1
16;AF;0014;DFF 100x160;;;0,970;1,60;6,40;4
17;AF;0015;DFF 80x200;;;0,970;1,60;12,80;8
18;AF;0016;PR-Fassade;;;0,700;16,13;0,00;0
19;AF;0017;PR-Fassade;;;0,700;8,76;8,76;1
20;AF;0018;PR-Fassade;;;0,700;12,65;12,65;1
21;AF;0019;PR-Fassade;;;0,700;16,13;16,13;1
22;AF;0020;PR-Fassade;;;0,700;23,79;23,79;1
23;DF;0021;DFF Lichtkuppel 100x100;;;0,980;1,00;1,00;1
24;AW;AW01;ZMW + Dämmung;;;0,130;;346,75;
25;FM;AW02;Außenwand Feuermauer;;;0,138;;189,61;
26;FM;AW03;Außenwand Müllraum;;;0,146;;25,61;
27;EWu;AW04;Außenwand Sockelbereich, erdberührt;;;0,113;;109,75;
28;AW;AW05;BSH + Dämmung;Anfrage Wechsel MWK zu BSP;;0,131;;0,00;
29;ADh;DA01;Schrägdach 37 Grad Straßenseite;;;0,098;;64,66;
30;ADh;DA02;Schrägdach ;;;0,098;;0,00;
31;ADh;DA02a;Schrägdach Prefa Dach;;;0,097;;0,00;
32;ADh;DA02b;Schrägdach Prefa Dach;Leimbinderdach;;0,095;;0,00;
33;ADh;DA02c;Schrägdach Prefa Dach;Leimbinderdach;;0,099;;0,00;
34;ADh;DA02d;Schrägdach Prefa Dach;Leimbinderdach;;0,097;;470,67;
35;AD;DA03;Flachdach, begrünt;;;0,105;;109,37;
36;AD;DA04;Flachdach, begrünt, Eingangsbereich;;;0,095;;0,00;
37;EBu;EB01;Fußboden erdberührend;;;0,095;;171,96;
38;EBu;EB02;Fußboden erdberührend;;;0,095;;0,00;
39;EBu;EB03;Fußboden erdberührend;;;0,095;;16,83;
40;EBu;EB04;Fußboden erdberührend;;;0,096;;94,96;
41;EBu;EB05;Fußboden erdberührend;;;0,095;;332,36;
42;WBDu;FB01;Fußboden Ruhebereich;;;0,451;;0,00;
43;WBDu;FB01a;Fußboden Ruhebereich;;;0,452;;0,00;
44;WGU;IW01;Massivwand mit GK Vorsatzschale (gegen unbeheizt);;;0,223;;0,00;
45;IW;IW02;Massivwand tragend;;;1,387;;0,00;
46;IW;IW03;Zwischenwand GK;;;0,809;;0,00;
47;IW;IW04;Zwischenwand GK EI90 (bis 4m Höhe);;;0,809;;0,00;
48;IW;IW05;Schachtwand GK EI90 (bis 4m Höhe);;;0,843;;0,00;
49;IW;IW06;Zwischenwand Holzständerwand;;;0,364;;0,00;
50;IW;IW06;Zwischenwand Massivholz;;;0,875;;0,00;
51;IW;IW07;Zwischenwand GK (über 4m bis 5,95 Höhe);;;0,617;;0,00;
52;IW;IW08;Zwischenwand GK EI90;;;0,617;;0,00;
53;IW;IW09;Zwischenwand Massivholz;;;0,507;;0,00;
54;IW;xxxx;Ersatzbauteil für Innenverglasung;Ersatz für resRW für DnTw Berechnung von Zwiaschenwänden;;3,846;;0,00;
55;IW;xxxx;Ersatzbauteil für Innenverglasung;Ersatz für resRW für DnTw Berechnung von Zwiaschenwänden;;3,846;;0,00;
56;IW;xxxx;Ersatzbauteil Trennwand Gangbereich - Gruppenr. 2;Ersatzbauteil;;1,387;;0,00;
57;IW;xxxx;Ersatzbauteil Trennwand Gruppenr. 2 - Sanitärbereich;Ersatzbauteil;;3,846;;0,00;
